"Address","Source Line","Assembly","Hardware Event Count: Total","Hardware Event Count: Self","Hardware Event Sample Count: Total","Hardware Event Sample Count: Self"
"0x7f61252f4980","0","Block 1:","","","",""
"0x7f61252f4980","0","mov r10d, dword ptr [rsi+0x8]","","","",""
"0x7f61252f4984","0","shl r10, 0x3","","","",""
"0x7f61252f4988","0","cmp r10, rax","","","",""
"0x7f61252f498b","0","jnz 0x7f6125045ba0 <ic_miss_stub>","","","",""
"0x7f61252f4991","0","Block 2:","","","",""
"0x7f61252f4991","0","nop word ptr [rax+rax*1], ax","","","",""
"0x7f61252f499c","0","data16 nop ","","","",""
"0x7f61252f49a0","0","mov dword ptr [rsp-0x14000], eax","","","",""
"0x7f61252f49a7","0","push rbp","","","",""
"0x7f61252f49a8","0","sub rsp, 0x130","","","",""
"0x7f61252f49af","0","mov qword ptr [rsp+0x98], rsi","","","",""
"0x7f61252f49b7","0","mov rbx, 0x7f61206da038","","","",""
"0x7f61252f49c1","0","mov edx, dword ptr [rbx+0xdc]","","","",""
"0x7f61252f49c7","0","add edx, 0x8","","","",""
"0x7f61252f49ca","0","mov dword ptr [rbx+0xdc], edx","","","",""
"0x7f61252f49d0","0","mov rbx, 0x7f61206cc528","","","",""
"0x7f61252f49da","0","and edx, 0x1ff8","","","",""
"0x7f61252f49e0","0","cmp edx, 0x0","","","",""
"0x7f61252f49e3","0","jz 0x7f61252f6cbb <Block 281>","","","",""
"0x7f61252f49e9","0","Block 3:","","","",""
"0x7f61252f49e9","472","mov r11d, 0x0","","","",""
"0x7f61252f49ef","472","nop ","","","",""
"0x7f61252f49f0","0","Block 4:","","","",""
"0x7f61252f49f0","472","mov ebx, dword ptr [rsi+0xc]","","","",""
"0x7f61252f49f3","472","cmp r11d, ebx","","","",""
"0x7f61252f49f6","472","mov rbx, 0x7f61206da038","","","",""
"0x7f61252f4a00","472","mov rdx, 0x108","","","",""
"0x7f61252f4a0a","472","jnl 0x7f61252f4a1a <Block 6>","","","",""
"0x7f61252f4a10","0","Block 5:","","","",""
"0x7f61252f4a10","472","mov rdx, 0x118","","","",""
"0x7f61252f4a1a","0","Block 6:","","","",""
"0x7f61252f4a1a","472","mov rdi, qword ptr [rbx+rdx*1]","","","",""
"0x7f61252f4a1e","472","lea rdi, ptr [rdi+0x1]","","","",""
"0x7f61252f4a22","472","mov qword ptr [rbx+rdx*1], rdi","","","",""
"0x7f61252f4a26","472","jnl 0x7f61252f6cac <Block 280>","","","",""
"0x7f61252f4a2c","0","Block 7:","","","",""
"0x7f61252f4a2c","472","mov dword ptr [rsp+0x90], r11d","","","",""
"0x7f61252f4a34","472","mov rbx, 0x7f61206da038","","","",""
"0x7f61252f4a3e","472","add qword ptr [rbx+0x128], 0x1","","","",""
"0x7f61252f4a46","472","mov rbx, 0x7f61206d9990","","","",""
"0x7f61252f4a50","472","mov edx, dword ptr [rbx+0xdc]","","","",""
"0x7f61252f4a56","472","add edx, 0x8","","","",""
"0x7f61252f4a59","472","mov dword ptr [rbx+0xdc], edx","","","",""
"0x7f61252f4a5f","472","mov rbx, 0x7f61206cf390","","","",""
"0x7f61252f4a69","472","and edx, 0x7ffff8","","","",""
"0x7f61252f4a6f","472","cmp edx, 0x0","","","",""
"0x7f61252f4a72","472","jz 0x7f61252f6cd2 <Block 283>","","","",""
"0x7f61252f4a78","0","Block 8:","","","",""
"0x7f61252f4a78","472","mov ebx, 0xa","","","",""
"0x7f61252f4a7d","472","mov rdx, 0x7c00621f8","","","",""
"0x7f61252f4a87","472","movsxd rbx, ebx","","","",""
"0x7f61252f4a8a","472","mov rdi, rbx","","","",""
"0x7f61252f4a8d","472","cmp rbx, 0xffffff","","","",""
"0x7f61252f4a94","472","jnbe 0x7f61252f6ce9 <Block 285>","","","",""
"0x7f61252f4a9a","0","Block 9:","","","",""
"0x7f61252f4a9a","472","mov rsi, 0x17","","","",""
"0x7f61252f4aa4","472","lea rsi, ptr [rsi+rbx*4]","","","",""
"0x7f61252f4aa8","472","and rsi, 0xfffffffffffffff8","","","",""
"0x7f61252f4aac","472","mov rax, qword ptr [r15+0x60]","","","",""
"0x7f61252f4ab0","472","lea rsi, ptr [rax+rsi*1]","","","",""
"0x7f61252f4ab4","472","cmp rsi, qword ptr [r15+0x70]","","","",""
"0x7f61252f4ab8","472","jnbe 0x7f61252f6ce9 <Block 285>","","","",""
"0x7f61252f4abe","0","Block 10:","","","",""
"0x7f61252f4abe","472","mov qword ptr [r15+0x60], rsi","","","",""
"0x7f61252f4ac2","472","sub rsi, rax","","","",""
"0x7f61252f4ac5","472","mov qword ptr [rax], 0x1","","","",""
"0x7f61252f4acc","472","mov rcx, rdx","","","",""
"0x7f61252f4acf","472","shr rcx, 0x3","","","",""
"0x7f61252f4ad3","472","mov dword ptr [rax+0x8], ecx","","","",""
"0x7f61252f4ad6","472","mov dword ptr [rax+0xc], ebx","","","",""
"0x7f61252f4ad9","472","sub rsi, 0x10","","","",""
"0x7f61252f4add","472","jz 0x7f61252f4af4 <Block 13>","","","",""
"0x7f61252f4ae3","0","Block 11:","","","",""
"0x7f61252f4ae3","472","xor rbx, rbx","","","",""
"0x7f61252f4ae6","472","shr rsi, 0x3","","","",""
"0x7f61252f4aea","0","Block 12:","","","",""
"0x7f61252f4aea","472","mov qword ptr [rax+rsi*8+0x8], rbx","","","",""
"0x7f61252f4aef","472","dec rsi","","","",""
"0x7f61252f4af2","472","jnz 0x7f61252f4aea <Block 12>","","","",""
"0x7f61252f4af4","0","Block 13:","","","",""
"0x7f61252f4af4","473","mov rbx, 0x6720d2190","","","",""
"0x7f61252f4afe","473","mov r10, rax","","","",""
"0x7f61252f4b01","473","shr r10, 0x3","","","",""
"0x7f61252f4b05","473","mov dword ptr [rbx+0x68], r10d","","","",""
"0x7f61252f4b09","473","mov rdx, rbx","","","",""
"0x7f61252f4b0c","473","shr rdx, 0x9","","","",""
